ID,hist
SPSSN4478549194297154363,"[{'k': 'errorCode=ObjectLockConfigurationNotFoundError\teventCategory=Management\teventName=GetBucketObjectLockConfiguration\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Data\teventName=ListObjects\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Data\teventName=GetObjectTagging\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}]"
SPSSNm6890555198667692826,"[{'k': 'eventCategory=Management\teventName=ListClusters\teventSource=ecs.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=DescribeRepositories\teventSource=ecr.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=GetCallerIdentity\teventSource=sts.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\t', 'c': 2.0}]"
SPSSNm4080651934773293128,"[{'k': 'eventCategory=Management\teventName=GetBucketLocation\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Data\teventName=GetObject\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=GetBucketEncryption\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}]"
SPSSN6871687774071215214,"[{'k': 'eventCategory=Management\teventName=GetBucketAcl\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=NoSuchKey\teventCategory=Data\teventName=GetObjectAcl\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=GetBucketPublicAccessBlock\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=NoSuchPublicAccessBlockConfiguration\teventCategory=Management\teventName=GetAccountPublicAccessBlock\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=ListAccessPoints\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=NoSuchBucketPolicy\teventCategory=Management\teventName=GetBucketPolicyStatus\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=ListBuckets\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Data\teventName=GetObjectAcl\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Data\teventName=GetObjectTagging\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}]"
SPSSN3119038093632912926,"[{'k': 'eventCategory=Management\teventName=GetBucketVersioning\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Data\teventName=ListObjects\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Data\teventName=GetObjectTagging\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}]"
SPSSN5710550811177935580,"[{'k': 'eventCategory=Management\teventName=GetBucketVersioning\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=AccessDenied\teventCategory=Management\teventName=GetBucketAcl\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=NoSuchPublicAccessBlockConfiguration\teventCategory=Management\teventName=GetAccountPublicAccessBlock\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=AccessDenied\teventCategory=Management\teventName=GetBucketPolicyStatus\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=ListAccessPoints\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=OwnershipControlsNotFoundError\teventCategory=Management\teventName=GetBucketOwnershipControls\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Data\teventName=ListObjects\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=AccessDenied\teventCategory=Management\teventName=GetBucketPublicAccessBlock\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}]"
SPSSN483224452220716440,"[{'k': 'eventCategory=Data\teventName=ListObjectVersions\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=GetBucketVersioning\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=GetBucketAcl\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=NoSuchBucketPolicy\teventCategory=Management\teventName=GetBucketPolicy\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=GetBucketPublicAccessBlock\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=NoSuchPublicAccessBlockConfiguration\teventCategory=Management\teventName=GetAccountPublicAccessBlock\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=ListAccessPoints\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 2.0}, {'k': 'errorCode=NoSuchBucketPolicy\teventCategory=Management\teventName=GetBucketPolicyStatus\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=NoSuchWebsiteConfiguration\teventCategory=Management\teventName=GetBucketWebsite\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}]"
SPSSNm6826022552951697856,"[{'k': 'errorCode=NoSuchPublicAccessBlockConfiguration\teventCategory=Management\teventName=GetBucketPublicAccessBlock\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 2.0}, {'k': 'errorCode=AccessDenied\teventCategory=Management\teventName=GetBucketAcl\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 2.0}, {'k': 'errorCode=NoSuchKey\teventCategory=Data\teventName=GetObjectAcl\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=ObjectLockConfigurationNotFoundError\teventCategory=Management\teventName=GetBucketObjectLockConfiguration\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 2.0}, {'k': 'eventCategory=Management\teventName=ListAccessPoints\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 3.0}, {'k': 'eventCategory=Management\teventName=ListBuckets\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Data\teventName=ListObjects\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 2.0}, {'k': 'eventCategory=Management\teventName=GetBucketAcl\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 3.0}, {'k': 'eventCategory=Data\teventName=CopyObject\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=False\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=GetBucketPublicAccessBlock\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 3.0}, {'k': 'errorCode=NoSuchPublicAccessBlockConfiguration\teventCategory=Management\teventName=GetAccountPublicAccessBlock\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 3.0}, {'k': 'errorCode=AccessDenied\teventCategory=Management\teventName=GetBucketPolicyStatus\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 2.0}, {'k': 'eventCategory=Management\teventName=GetBucketPolicyStatus\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 2.0}, {'k': 'errorCode=NoSuchBucketPolicy\teventCategory=Management\teventName=GetBucketPolicyStatus\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 3.0}, {'k': 'eventCategory=Data\teventName=GetObjectAcl\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 2.0}, {'k': 'errorCode=OwnershipControlsNotFoundError\teventCategory=Management\teventName=GetBucketOwnershipControls\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 3.0}, {'k': 'eventCategory=Data\teventName=DeleteObject\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=False\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=AccessDenied\teventCategory=Management\teventName=GetBucketPublicAccessBlock\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 2.0}]"
SPSSN2532523569629037474,"[{'k': 'eventCategory=Management\teventName=GetBucketAcl\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=GetBucketPublicAccessBlock\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=NoSuchPublicAccessBlockConfiguration\teventCategory=Management\teventName=GetAccountPublicAccessBlock\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=ObjectLockConfigurationNotFoundError\teventCategory=Management\teventName=GetBucketObjectLockConfiguration\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=ListAccessPoints\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=NoSuchBucketPolicy\teventCategory=Management\teventName=GetBucketPolicyStatus\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Data\teventName=ListObjects\teventSource=s3.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 2.0}]"
SPSSN3812444387624352025,"[{'k': 'eventCategory=Management\teventName=DescribeUserPool\teventSource=cognito-idp.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=DescribeUserPoolClient\teventSource=cognito-idp.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=ListResources\teventSource=ram.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=DescribeAccountAttributes\teventSource=ec2.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'errorCode=InvalidAccessException\teventCategory=Management\teventName=DescribeHub\teventSource=securityhub.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=GetUICustomization\teventSource=cognito-idp.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}, {'k': 'eventCategory=Management\teventName=ListApplications\teventSource=servicecatalog-appregistry.amazonaws.com\teventType=AwsApiCall\treadOnly=True\trecipientAccountId=333333333333\tuserIdentity_accountId=333333333333\tuserIdentity_sessionContext_attributes_mfaAuthenticated=false\t', 'c': 1.0}]"
